Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
ORI,OC,2141,OCL  487          ,06 02.9,+10 27,9.4,10,II 3 r     
ORI,OC,2169,"SHOPPING CART CLUSTER/""37"" Cluster",06 08.4,+13 58,5.9,6,I 3 p n    
ORI,OC,2194,OCL  495          ,06 13.8,+12 48,8.5,9,III 1 r    
PEG,GAL,7814,"UGC 8 THE LITTLE SOMBRERO, ELECTRIC ARC GAL.",00 03.2,+16 09,11,5.5,SA(s)ab:sp
PEG,GC,7078,M15 PEGASUS CLUSTER,21 30.0,+12 10,6.3,18,IV         
PEG,GAL,7331,UGC 12113(Deer Lick Group with the companions)      ,22 37.1,+34 25,9.5,10.2,SBc        
PEG,GAL,7479,"UGC 12343, Superman Galaxy       ",23 04.9,+12 19,10.9,4,SBbc       
PER,PN,650/651,"M76 LITTLE DUMBBELL, the Barbell, The Cork          ",01 42.3,+51 35,11,2.7,3(6)       
PER,OC,869,PERSEUS DOUBLE CLUSTER,02 19.1,+57 08,5.3,18,I 3 r      
PER,OC,884,PERSEUS DOUBLE CLUSTER,02 22.1,+57 08,6.1,18,I 3 r      
PER,GAL,1003,UGC 2137         ,02 39.3,+40 52,11.4,5.7,Sc         
PER,GAL,1023,"UGC 2154, PERSEUS LENTICULAR       ",02 40.4,+39 04,9.4,8.1,E7p        
PER,OC,1039,M34,02 42.1,+42 45,5.2,25,II 3 m     
PER,GAL,1160,UGC 2475         ,03 01.2,+44 57,12.8,1.9,SBc Ring   
PER,OC,1245,PATRICK STARFISH,03 14.7,+47 14,8.4,10,III 1 r    
PER,BN,1333,EMBRYO NEBULA,03 29.3,+31 25,5.7,6,
PER,OC,1342,STINGRAY CLUSTER,03 31.7,+37 22,6.7,17,III 3 p    
PER,OC,1444,OCL  394          ,03 49.4,+52 39,6.6,4,IV 1 p     
PER,BN,1491,FOSSIL FOOTPRINT NEBULA,04 03.2,+51 19,?,6,E          
PER,OC,1528,OCL  397          ,04 15.3,+51 13,6.4,18,II 2 m     
PER,OC,1545,OCL  399          ,04 20.9,+50 15,6.2,12,II 2 p     
PER,BN,1579,THE NORTHERN TRIFID,04 30.2,+35 17,?,3,R          
PER,OC,Berkeley68,                  ,04 44.5,+42 04,9.8,12,IV 2 p     
PSA,GAL,7174,ESO 466-40        ,22 02.1,-32 00,13.3,2.6,Sab        
PSA,GAL,7176,ESO 466-41        ,22 02.1,-31 59,11.3,2.1,Elliptical
PSA,GAL,7314,ESO 533-53        ,22 35.8,-26 03,11,4.6,SBbc       
PSA,GAL,IC5271,ESO 406-34        ,22 58.0,-33 45,11.6,2.6,Sb         
PSC,GAL,128,UGC 292         ,00 29.2,+02 52,11.8,2.8,SO Pec     
PSC,GAL,488,Whirligig galaxy,01 21.8,+05 15,10.3,5.4,Sb Ring    
PSC,GAL,628,M74 PHANTOM GALAXY,01 36.7,+15 47,9.4,10,Sc         
PSC,GAL,7541,UGC 12447         ,23 14.7,+04 32,11.7,3.5,SBc        
PUP,OC,2401,OCL  508          ,07 29.4,-13 58,12.6,2,I 1 p   
PUP,OC,2421,OCL  626          ,07 36.2,-20 37,8.3,8,I 2 m      
PUP,OC,2422,M47,07 36.6,-14 29,4.4,25,III 2 m    
PUP,OC,Melotte71,Collinder 155            ,07 37.5,-12 03,7.1,8,II 1 m     
PUP,OC,2425,OCL  599          ,07 38.3,-14 53,?,3.3,II 1 m
PUP,OC,2439,OCL  688          ,07 40.8,-31 42,6.9,9,II 3 m     
PUP,OC,2437,M46,07 41.8,-14 49,6.1,20,III 2 m    
PUP,PN,2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,11,1.08,4(2)       
PUP,PN,2440,"ALBINO BUTTERFLY NEBULA,BURNING EMBER,BAT NEB.",07 41.9,-18 13,11.5,0.9,5(3)       
PUP,OC,2447,M93,07 44.5,-23 51,6.2,10,IV 1 p     
PUP,OC,2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,2.8,50,II 2 p     
PUP,PN,2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,11.9,0.5,4(3)       
PUP,OC,2453,OCL  670          ,07 47.6,-27 12,8.3,4,I 2 p      
PUP,OC,2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,5.8,20,I 2 r :b   
PUP,BN+OC,2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,8,16,
PUP,OC,2479,OCL  623          ,07 55.1,-17 42,9.6,11,III 1 m    
PUP,OC,2489,OCL  690          ,07 56.3,-30 04,7.9,5,II 2 m     
PUP,OC,2509,OCL  630          ,08 00.8,-19 03,9.3,12,II 1 p     
PUP,OC,2533,OCL  695          ,08 07.0,-29 52,7.6,6,III 1 p    
PUP,OC,2539,THE DISH CLUSTER,08 10.6,-12 49,6.5,15,II 1 m     
PUP,OC,2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,6.3,70,III 2 m
PUP,OC,2567,OCL  708          ,08 18.5,-30 39,7.4,11,III 2 m    
PUP,OC,2588,OCL  715          ,08 23.2,-32 59,11.8,2,II 1 p     
SCL,GAL,55,Dunlop 507        ,00 15.1,-39 11,7.9,31.2,SBp        
SCL,GAL,134,GIANT SQUID GALAXY,00 30.4,-33 15,10,8.5,SB
SCL,GAL,253,ESO 474-29/Sculptor Galaxy/SILVER COIN GAL.  ,00 47.6,-25 18,7.2,26.4,SBc        
SCL,GC,288,ESO 474-SC37      ,00 52.8,-26 35,8.1,13,X          
SCL,GAL,300,ESO 295-20        ,00 54.9,-37 41,8.1,19.3,Scd        
SCL,GAL,7793,BOND'S GALAXY,23 57.8,-32 36,9.1,9.6,Scd        
